text,lang_zh,subType,dir
topknot,丸子头,普通,容貌/头发
uneven twintails,两股辫子大小不一,普通,容貌/头发
tri tails,有三股辫子,普通,容貌/头发
quin tails,有五股辫子,普通,容貌/头发
afro,鸟窝头/爆炸头,普通,容貌/头发
huge afro,超大鸟窝头,普通,容貌/头发
beehive hairdo,蜂窝头,普通,容貌/头发
pompadour,蓬帕杜发型,普通,容貌/头发
quiff,蓬松感油头,普通,容貌/头发
hair flaps,在摆动的头发,普通,容貌/头发
pointy hair,带着尖角的发型,普通,容貌/头发
spiked hair,刺刺的头发,普通,容貌/头发
widow's peak,美人尖,普通,容貌/头发
heart ahoge,心形呆毛,普通,容貌/头发
huge ahoge,大呆毛,普通,容貌/头发
antenna hair,多根呆毛,普通,容貌/头发
comb over,遮盖头发稀少部分,普通,容貌/头发
mohawk,莫霍克发型,普通,容貌/头发
lone nape hair,孤颈毛,普通,容貌/头发
hair bikini,头发比基尼,普通,容貌/头发
hair scarf,头发围巾,普通,容貌/头发
