text,lang_zh,subType,dir
unconscious,失神,普通,容貌/表情
bright pupils,明亮的瞳孔,普通,容貌/表情
ear blush,耳红,普通,容貌/表情
holding breath,憋气,普通,容貌/表情
puckered lips,撅起的嘴唇,普通,容貌/表情
seductive smile,诱人的微笑,普通,容貌/表情
smiley,笑脸,普通,容貌/表情
smirk,傻笑/得意的笑,普通,容貌/表情
doyagao,得意脸,普通,容貌/表情
flustered,慌乱的,普通,容貌/表情
full blush,整张脸泛红,普通,容貌/表情
heart in eye,眼里冒爱心,普通,容貌/表情
heavy breathing,喘粗气,普通,容貌/表情
moaning,呻吟,普通,容貌/表情
smug,得意脸,普通,容貌/表情
spit take,惊讶或无语到喷了,普通,容貌/表情
surprised,惊讶,普通,容貌/表情
tsundere,傲娇,普通,容貌/表情
drooling,流口水,普通,容貌/表情
torogao,诱惑的表情,普通,容貌/表情
ahegao,阿嘿颜,普通,容貌/表情
naughty face,下流的表情,普通,容貌/表情
naughty,下流的表情,普通,容貌/表情
endured face,忍耐的表情,普通,容貌/表情
glint,眼中闪现强烈的情感,普通,容貌/表情
happy,快乐/幸福,普通,容貌/表情
laughing,在笑的,普通,容貌/表情
troll,嚣张脸,普通,容貌/表情
yandere,病娇,普通,容貌/表情
saliva trail,唾液拉丝,普通,容貌/表情
red lips,朱唇,普通,容貌/表情
skin fang,虎牙状,普通,容貌/表情
upper teeth,露出上排牙齿,普通,容貌/表情
fang,虎牙,普通,容貌/表情
fang out,露出虎牙/露出尖牙,普通,容貌/表情
long tongue,长舌头,普通,容貌/表情
forehead,额头,普通,容貌/表情
light blush,淡淡的腮红,普通,容貌/表情
cheek-to-cheek,脸贴脸,普通,容貌/表情
cheek bulge,鼓着腮帮,普通,容貌/表情
cheek pinching,捏脸颊,普通,容貌/表情
cheek poking,戳脸颊,普通,容貌/表情
cheek pull,扯脸颊,普通,容貌/表情
chin grab,抬下巴,普通,容貌/表情
covering eyes,遮住眼睛,普通,容貌/表情
covering,挡住脸,普通,容貌/表情
covering mouth,挡住嘴巴,普通,容貌/表情
face-to-face,脸贴脸,普通,容貌/表情
facing another,二人面对面(脸贴得很近),普通,容貌/表情
forehead-to-forehead,额头贴额头,普通,容貌/表情
teeth,牙,普通,容貌/表情
excited,兴奋,普通,容貌/表情
nose blush,害羞,普通,容貌/表情
expressionless eyes,失神,普通,容貌/表情
anger vein,青筋,普通,容貌/表情
blush stickers,表情贴纸,普通,容貌/表情
full-face blush,整张脸泛红,普通,容貌/表情
confused,疑惑,普通,容貌/表情
determined,有决心的,普通,容貌/表情
disappointed,失望的,普通,容貌/表情
disdain,蔑视,普通,容貌/表情
disgust,恶心,普通,容貌/表情
despair,绝望,普通,容貌/表情
envy,嫉妒,普通,容貌/表情
evil,邪恶,普通,容貌/表情
facepalm,以手掩面,普通,容貌/表情
frustrated,沮丧,普通,容貌/表情
guilt,有罪的,普通,容貌/表情
kubrick stare,库布里克凝视,普通,容貌/表情
lonely,孤独的,普通,容貌/表情
raised eyebrow,扬起的眉毛,普通,容貌/表情
rape face,强硬的表情,普通,容貌/表情
depressed,压抑的/郁闷的,普通,容貌/表情
panicking,恐慌的,普通,容貌/表情
worried,担忧的,普通,容貌/表情
tired,累,普通,容貌/表情
sulking,闷闷不乐,普通,容貌/表情
thinking,思考,普通,容貌/表情
pensive,沉思的,普通,容貌/表情
upset,气愤,普通,容貌/表情
crazy smile,疯狂地笑,普通,容貌/表情
forced smile,强迫笑,普通,容貌/表情
glasgow smile,格拉斯哥微笑,普通,容貌/表情
sad smile,苦笑,普通,容貌/表情
stifled laugh,憋笑,普通,容貌/表情
color drain,惊讶到掉色,普通,容貌/表情
horrified,恐惧表情,普通,容貌/表情
sobbing,啜泣,普通,容貌/表情
oral invitation,伸出舌头,普通,容貌/表情

