text,lang_zh,subType,dir
mask on head,掀到头上的面具,普通,容貌/头饰
mask pull,拉着口罩,普通,容貌/头饰
mask removed,摘下的面具,普通,容貌/头饰
gas mask,防毒面具,普通,容貌/头饰
anchor choker,锚形项圈,普通,容貌/头饰
bead necklace,珠子项链,普通,容貌/头饰
headphones,耳机,普通,容貌/头饰
behind-the-head headphones,从后脑戴上的耳机,普通,容貌/头饰
whistle around neck,脖子上挂着口哨,普通,容貌/头饰
animal hood,兽耳头罩,普通,容貌/头饰
bespectacled,戴眼镜的,普通,容貌/头饰
fedora,软呢帽,普通,容貌/头饰
witch hat,女巫帽,普通,容貌/头饰
wizard hat,法师帽,普通,容貌/头饰
winged helmet,带翅膀的头盔,普通,容貌/头饰
hood down,放下的兜帽,普通,容貌/头饰
hood up,戴起来的兜帽,普通,容貌/头饰
sailor hat,水手帽,普通,容貌/头饰
santa hat,圣诞帽,普通,容貌/头饰
peaked cap,类似警帽的帽子,普通,容貌/头饰
elbow pads,护肘,普通,容貌/头饰
dragon horns,龙角,普通,容貌/头饰
eyewear on head,眼镜别在头上,普通,容貌/头饰
mole under eye,眼角有痣,普通,容貌/头饰
mole under mouth,嘴角有痣/美人痣,普通,容貌/头饰
x hair ornament,x发饰,普通,容貌/头饰
black hairband,黑色发带,普通,容貌/头饰
hair scrunchie,发箍,普通,容貌/头饰
white hairband,白色发带,普通,容貌/头饰
hair tie,发带,普通,容貌/头饰
frog hair ornament,青蛙发饰,普通,容貌/头饰
food-themed hair ornament,食物发饰,普通,容貌/头饰
star hair ornament,星星发饰,普通,容貌/头饰
heart hair ornament,心形发饰,普通,容貌/头饰
red hairband,红色发带,普通,容貌/头饰
butterfly hair ornament,蝴蝶发饰,普通,容貌/头饰
snake hair ornament,蛇发饰,普通,容貌/头饰
lolita hairband,洛丽塔发带,普通,容貌/头饰
feather hair ornament,羽毛头饰,普通,容貌/头饰
blue hairband,蓝色发带,普通,容貌/头饰
anchor hair ornament,锚发饰,普通,容貌/头饰
leaf hair ornament,叶发饰,普通,容貌/头饰
bunny hair ornament,兔子头饰,普通,容貌/头饰
skull hair ornament,骷髅头饰,普通,容貌/头饰
yellow hairband,黄色发带,普通,容貌/头饰
pink hairband,粉色发带,普通,容貌/头饰
bow hairband,蝴蝶结发带,普通,容貌/头饰
cat hair ornament,猫头饰,普通,容貌/头饰
musical note hair ornament,音符发饰,普通,容貌/头饰
carrot hair ornament,胡萝卜发饰,普通,容貌/头饰
purple hairband,紫色发带,普通,容貌/头饰
hair beads,发珠,普通,容貌/头饰
multiple hair bows,多个蝴蝶结,普通,容貌/头饰
bat hair ornament,蝙蝠发饰,普通,容貌/头饰
bone hair ornament,骨发饰,普通,容貌/头饰
orange hairband,橙色发带,普通,容貌/头饰
snowflake hair ornament,雪花发饰,普通,容貌/头饰
flower on head,头上有花,普通,容貌/头饰
head wreath,头上戴着花冠,普通,容貌/头饰
